Latitude,temp,humidity
35.08449,285.6179,45.18616
33.749,289.7727,70.84676
31.25181,291.522,70.60486
42.35843,283.7798,77.3753
35.22709,288.8975,70.18919
41.85003,283.3506,74.43492
32.78306,292.3759,64.32376
39.73915,282.8394,53.02256
42.33143,282.9717,72.47757
29.55805,296.4973,53.15518
32.81556,295.2664,79.80038
29.76328,294.2043,74.06559
39.76838,284.7719,72.38386
30.33218,294.3334,76.43948
31.76904,293.1843,68.73229
39.09973,286.6417,66.62974
36.17497,292.4249,31.93783
34.05223,290.8461,62.77384
25.77427,298.1813,75.51236
44.97997,280.7005,71.24417
45.50884,280.343,71.86154
33.00586,294.0948,78.60676
36.16589,288.5663,68.24034
40.71427,285.4004,66.64242
39.95234,285.3742,68.01777
33.44838,295.4934,37.48442
40.44062,284.0539,70.36429
45.52345,284.9929,74.69762
38.62727,286.6759,70.59876
29.42412,293.7856,67.7008
32.71533,290.215,67.78481
37.77493,288.1558,76.87504
47.60621,284.4096,77.15904
32.08333,294.5123,66.86151
43.70011,281.9412,76.36191
49.24966,283.8627,81.89548
